SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
NSE:20MICRONS-EQ,20 Microns Limited,EQ,06-OCT-2008,5,1,INE144J01027,5
NSE:21STCENMGM-EQ,21st Century Management Services Limited,EQ,03-MAY-1995,10,1,INE253B01015,10
NSE:360ONE-EQ,360 ONE WAM LIMITED,EQ,19-SEP-2019,1,1,INE466L01038,1
NSE:3IINFOLTD-EQ,3i Infotech Limited,EQ,22-OCT-2021,10,1,INE748C01038,10
NSE:3MINDIA-EQ,3M India Limited,EQ,13-AUG-2004,10,1,INE470A01017,10
NSE:3PLAND-EQ,3P Land Holdings Limited,EQ,19-JUL-1995,2,1,INE105C01023,2
NSE:5PAISA-EQ,5Paisa Capital Limited,EQ,16-NOV-2017,10,1,INE618L01018,10
NSE:63MOONS-EQ,63 moons technologies limited,EQ,20-JUN-2005,2,1,INE111B01023,2
NSE:A2ZINFRA-EQ,A2Z Infra Engineering Limited,BE,23-DEC-2010,10,1,INE619I01012,10
NSE:AAATECH-EQ,AAA Technologies Limited,EQ,28-NOV-2022,10,1,INE0D0U01013,10
NSE:AADHARHFC-EQ,Aadhar Housing Finance Limited,EQ,15-MAY-2024,10,1,INE883F01010,10
NSE:AAKASH-EQ,Aakash Exploration Services Limited,BE,29-SEP-2020,1,1,INE087Z01024,1
NSE:AAREYDRUGS-EQ,Aarey Drugs & Pharmaceuticals Limited,BE,06-AUG-2021,10,1,INE198H01019,10
NSE:AARON-EQ,Aaron Industries Limited,EQ,06-NOV-2020,10,1,INE721Z01010,10
NSE:AARTECH-EQ,Aartech Solonics Limited,EQ,10-JUL-2023,5,1,INE01C001026,5
NSE:AARTIDRUGS-EQ,Aarti Drugs Limited,EQ,19-SEP-2003,10,1,INE767A01016,10
NSE:AARTIIND-EQ,Aarti Industries Limited,EQ,08-FEB-1995,5,1,INE769A01020,5
NSE:AARTIPHARM-EQ,Aarti Pharmalabs Limited,EQ,30-JAN-2023,5,1,INE0LRU01027,5
NSE:AARTISURF-EQ,Aarti Surfactants Limited,BE,14-JUL-2020,10,1,INE09EO01013,10
NSE:AARVEEDEN-EQ,Aarvee Denims & Exports Limited,BE,21-NOV-2006,10,1,INE273D01019,10
NSE:AARVI-EQ,Aarvi Encon Limited,EQ,24-JUN-2020,10,1,INE754X01016,10
NSE:AAVAS-EQ,Aavas Financiers Limited,EQ,08-OCT-2018,10,1,INE216P01012,10
NSE:ABAN-EQ,Aban Offshore Limited,EQ,29-MAR-1995,2,1,INE421A01028,2
NSE:ABB-EQ,ABB India Limited,EQ,08-FEB-1995,2,1,INE117A01022,2
NSE:ABBOTINDIA-EQ,Abbott India Limited,EQ,08-JAN-2010,10,1,INE358A01014,10
NSE:ABCAPITAL-EQ,Aditya Birla Capital Limited,EQ,01-SEP-2017,10,1,INE674K01013,10
NSE:ABDL-EQ,Allied Blenders and Distillers Limited,EQ,02-JUL-2024,2,1,INE552Z01027,2
NSE:ABFRL-EQ,Aditya Birla Fashion and Retail Limited,EQ,17-JUL-2013,10,1,INE647O01011,10
NSE:ABINFRA-EQ,A B Infrabuild Limited,BE,08-NOV-2024,10,1,INE00YB01017,10
NSE:ABLBL-EQ,Aditya Birla Lifestyle Brands Limited,EQ,23-JUN-2025,10,1,INE14LE01019,10
NSE:ABMINTLLTD-EQ,ABM International Limited,BE,09-SEP-2021,10,1,INE251C01025,10
NSE:ABREL-EQ,Aditya Birla Real Estate Limited,EQ,27-JUN-2003,10,1,INE055A01016,10
NSE:ABSLAMC-EQ,Aditya Birla Sun Life AMC Limited,EQ,11-OCT-2021,5,1,INE404A01024,5
NSE:ACC-EQ,ACC Limited,EQ,20-NOV-1996,10,1,INE012A01025,10
NSE:ACCELYA-EQ,Accelya Solutions India Limited,EQ,01-DEC-1999,10,1,INE793A01012,10
NSE:ACCURACY-EQ,Accuracy Shipping Limited,EQ,11-DEC-2020,1,1,INE648Z01023,1
NSE:ACE-EQ,Action Construction Equipment Limited,EQ,26-SEP-2006,2,1,INE731H01025,2
NSE:ACEINTEG-EQ,Ace Integrated Solutions Limited,EQ,04-NOV-2022,10,1,INE543V01017,10
NSE:ACI-EQ,Archean Chemical Industries Limited,EQ,21-NOV-2022,2,1,INE128X01021,2
NSE:ACL-EQ,Andhra Cements Limited,EQ,10-MAY-2023,10,1,INE666E01020,10
NSE:ACLGATI-EQ,Allcargo Gati Limited,EQ,10-OCT-2006,2,1,INE152B01027,2
NSE:ACMESOLAR-EQ,Acme Solar Holdings Limited,EQ,13-NOV-2024,2,1,INE622W01025,2
NSE:ACUTAAS-EQ,Acutaas Chemicals Limited,EQ,14-SEP-2021,5,1,INE00FF01025,5
NSE:ADANIENSOL-EQ,Adani Energy Solutions Limited,EQ,31-JUL-2015,10,1,INE931S01010,10
NSE:ADANIENT-EQ,Adani Enterprises Limited,EQ,04-JUN-1997,1,1,INE423A01024,1
NSE:ADANIGREEN-EQ,Adani Green Energy Limited,EQ,18-JUN-2018,10,1,INE364U01010,10
NSE:ADANIPORTS-EQ,Adani Ports and Special Economic Zone Limited,EQ,27-NOV-2007,2,1,INE742F01042,2
NSE:ADANIPOWER-EQ,Adani Power Limited,EQ,20-AUG-2009,10,1,INE814H01011,10
NSE:ADFFOODS-EQ,ADF Foods Limited,EQ,15-SEP-2010,2,1,INE982B01027,2
NSE:ADL-EQ,Archidply Decor Limited,EQ,01-OCT-2020,10,1,INE0CHO01012,10
NSE:ADOR-EQ,Ador Welding Limited,EQ,10-MAY-1995,10,1,INE045A01017,10
NSE:ADROITINFO-EQ,Adroit Infotech Limited,EQ,13-AUG-1997,10,1,INE737B01033,10
NSE:ADSL-EQ,Allied Digital Services Limited,EQ,25-JUL-2007,5,1,INE102I01027,5
NSE:ADVANIHOTR-EQ,Advani Hotels & Resorts (India) Limited,EQ,25-JUN-2007,2,1,INE199C01026,2
NSE:ADVENZYMES-EQ,Advanced Enzyme Technologies Limited,EQ,01-AUG-2016,2,1,INE837H01020,2
NSE:AEGISLOG-EQ,Aegis Logistics Limited,EQ,03-APR-1996,1,1,INE208C01025,1
NSE:AEGISVOPAK-EQ,Aegis Vopak Terminals Limited,EQ,02-JUN-2025,10,1,INE0INX01018,10
NSE:AEROENTER-EQ,Aeroflex Enterprises Limited,EQ,21-NOV-2022,2,1,INE065D01027,2
NSE:AEROFLEX-EQ,Aeroflex Industries Limited,EQ,31-AUG-2023,2,1,INE024001021,2
NSE:AERONEU-EQ,Aeroflex Neu Limited,BE,12-JAN-2023,10,1,INE035801013,10
NSE:AETHER-EQ,Aether Industries Limited,EQ,03-JUN-2022,10,1,INE0BWX01014,10
NSE:AFCONS-EQ,Afcons Infrastructure Limited,EQ,04-NOV-2024,10,1,INE101I01011,10
NSE:AFFLE-EQ,Affle 3i Limited,EQ,08-AUG-2019,2,1,INE00WC01027,2
NSE:AFFORDABLE-EQ,Affordable Robotic & Automation Limited,EQ,23-OCT-2024,10,1,INE692Z01013,10
NSE:AFIL-EQ,Akme Fintrade (India) Limited,EQ,26-JUN-2024,1,1,INE916Y01027,1
NSE:AFSL-EQ,Abans Financial Services Limited,EQ,23-DEC-2022,2,1,INE00ZE01026,2
NSE:AGARIND-EQ,Agarwal Industrial Corporation Limited,EQ,26-MAY-2014,10,1,INE204E01012,10
